"","Gras","PCDF","InDF","PJW","PIPO","Salp","Mixd","Hdwd","CaCr","DeSc","MMsh","Sgbr","Shsp","D2WUI","D2Rd","RiverD","DEM","Slop","P90Ao","PPAo","PWAo","PAo","PP2GAo","T90Mn","T90Ao","TPAo","TWAo","TAo","TP2GAo","WMx","WMn","H90Ao","HAo","HPAo","HWAo","LOshp","Calacre_ha","FSH","FSH_PRO"
"14",0,0,0,0,0,0,0,0,0,0,0,0,0.928205128,2596.856695,4735.198566,0.126641156,918.3867241,0.617224094,0.10805525581042,0.0986791315421559,-0.0725845632210277,-0.57652348279953,-0.240909490904777,18.837254842122,1.14865048726398,0.530767303665982,11.164275985917,14.537271499634,0.136746475119992,2.69529318809509,2.52241849899292,-4.34714919196235,-16.5073113441467,1.37973072949578,-11.6574568467982,1,784.3494826,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0.023809524,0.957875458,21658.60436,14066.46096,0.135984984,1363.927856,3.137081731,-0.134390212761031,0.172410473714467,0.135934934507008,-0.621322691440582,-0.265029780420603,26.659211561415,10.06696073744,0.0611023497739893,10.162489373699,11.019733428955,0.28405061110999,3.52285480499268,2.87000286579132,-9.83552434709337,-19.4989039897919,1.46209679397882,-10.0524600907868,1,1769.128833,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0.748333333,2714.155091,5710.929634,0.067547976,1337.162175,0.657468838,0.320785411198934,0.241987347018485,0.239205777060752,-0.672478199005127,-0.343289670406603,21.644744533963,4.93567051357701,-0.522403704575026,10.222152722427,15.845407485962,-0.0404717065150066,5.32897281646729,3.63641518354416,-5.01259535683526,-19.4218339920044,3.87849648793538,-8.16399542490641,1,1816.108802,0,0
"17",0,0,0,0,0,0,0,0,0,0,0,0.001972387,0.976331361,13292.32294,17856.03868,0.037259824,1376.398017,1.179910207,-0.182408863637182,0.272253044874839,0.114677735598259,-0.690907776355743,-0.289829762932522,24.282690768772,8.771548038059,0.00763860714999964,10.902145061618,14.739900970459,-0.155432370752976,3.87354898452759,3.15299191474915,-8.84188040627373,-18.852293586731,3.05546429577996,-9.46047732409309,1,2920.318073,0,0
"18",0,0,0.001642036,0.108374384,0,0,0.003284072,0.072249589,0,0,0.001642036,0.443349754,0.333333333,16699.78203,18429.34812,0.107010922,1960.109993,18.73956897,-0.625351882312033,0.429257769795025,0.255430062027538,-0.831809354679925,-0.29659526118266,22.232109917535,8.17423619164401,-3.096064710929,6.84478936164197,6.26794065747902,-2.97926895291198,5.87407398223877,4.12191549369267,-14.1871276749505,-17.6599394934518,3.36298104205163,-8.74725226483314,1,1660.948904,67.59,0.040693606
"19",0,0,0,0.016247379,0,0,0,0,0,0,0,0.600104822,0.366352201,11781.85197,10710.77592,0.122758247,1774.233052,5.557417518,-0.279697568880187,0.229890924263624,0.22259150104585,-0.838029444217682,-0.387499977560604,24.990876600477,10.30983965132,-0.548798841589019,9.58268519008902,11.533324623108,0.211699005824983,5.34528350830078,3.70146532058716,-8.51108814875285,-18.4100757598877,3.05855135824166,-6.33641667459525,2,5754.596204,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,0.022058824,0.856617647,4043.634985,2153.688525,0.06239245,1298.239966,0.742833346,-0.312889734572834,0.295699820409413,0.187454268823262,-0.587307819298336,-0.310317076499166,28.280281575521,11.577047856649,-0.00615103727898259,10.659214181838,8.51957511901901,0.024623446993985,4.81686305999756,4.15638371876308,-11.0874019728767,-13.1932468414307,3.24461720659842,-8.37866236493478,1,776.8794875,0,0
"21",0,0,0,0,0,0,0,0,0,0.001610306,0,0.001610306,0.919484702,4280.989042,5770.196223,0.127388704,971.3135301,7.371964892,-0.0912389765183131,0.18216157212756,-0.137462851853153,-0.734341979026794,-0.253493736771976,23.927261691623,6.14371142917201,0.761497510024981,11.612245572159,16.350350697835,0.661699245179022,1.45233762264252,1.28570187091827,-6.631283876631,-19.1622231801351,1.29985483954934,-11.6813139073989,1,1655.458908,0,0
"22",0,0,0,0,0,0,0,0,0,0,0,0,0.785714286,1175.419918,3844.007605,0.123837822,840.1950195,4.296168324,-0.169897175166342,0.15448966602874,-0.218564897970436,-0.959096193313599,-0.23855420343237,23.490626695421,6.11190927293597,0.226494458766012,10.486605313868,16.883039474487,0.00704893723002442,3.3587327003479,2.48923179507256,-7.55719535615709,-15.1716203689575,0.847672649458342,-11.3203456916061,1,1955.33871,0,0
"23",0,0,0.020761246,0,0.020761246,0.003460208,0,0.022491349,0,0,0,0.780276817,0.08650519,9063.384968,8590.731444,0.130170437,1502.192018,20.31673956,-1.06534377998776,0.238061293083079,-0.612146393341177,-1.5855131149292,-0.304402131270739,24.181046210395,10.757618628608,-0.00241861779699093,10.050342460084,4.95763524373399,-0.00211743124202712,4.34217643737793,3.53809364636739,-10.7067783355713,-11.074200630188,2.98423135670182,-8.85060369578841,1,2146.768584,125.55,0.058483248
"24",0,0,0,0,0,0,0,0.000176999,0,0.000575247,0,0.000663746,0.820611531,15625.8941,10338.91531,0.054715185,1520.572564,1.377697928,0.304415409432517,0.249470860545152,0.353366286341661,-0.212429940700531,-0.427773786136527,19.433379787869,5.52305855221198,-0.502600526497986,10.955539846732,16.326285756867,-0.0365703807160003,4.28696441650391,2.73433391390176,-7.98302595350478,-19.0557999775328,3.67854691798391,-9.06535719578562,1,44219.31083,0,0
"25",0,0,0,0.025,0,0,0,0.008333333,0,0,0.0125,0.65,0,8369.632658,12974.16241,0.112922965,1723.994213,10.97239091,0.30533618595865,0.262499895165948,0.235028114388971,-0.326430643146688,-0.368385800543953,18.948313734266,5.92365648481598,-0.502709145639017,10.197023634817,15.359319080006,-0.103254393035002,5.16089153289795,3.5729288296266,-4.61595070097182,-15.1904614188454,4.67780640546013,-4.77564475115608,1,719.8195251,0,0
"26",0,0,0,0.048491379,0,0,0,0.000538793,0,0,0,0,0.941271552,10857.57826,3736.395048,0.04631728,1647.308548,6.790035441,-0.159539864460627,0.337451265917884,0.356374965773688,-0.534858070887052,-0.400171273479275,25.767396714952,12.154833581713,-0.383130316640973,10.793655152414,10.494818051656,-0.00325568205397531,6.6583890914917,3.34106638798347,-13.2882189962599,-18.773876385811,3.67152759452271,-9.52143505196166,1,3889.617434,0,0
"27",0,0,0,0,0,0,0,0,0,0.065780731,0,0.001328904,0.838538206,18247.48403,17968.30695,0.130115768,1006.427835,5.202186898,0.215458699398571,0.107955947810528,-0.143938079184177,-0.660405993461609,-0.239703981510175,19.251406860352,1.32671852111798,0.265510995403986,10.867466409222,13.217389297485,0.310119117786996,5.22735738754272,3.37805509567261,-4.17220357259115,-16.7143074035645,1.21481202942094,-11.4069149603252,1,4193.457234,0,0
"28",0,0,0,0,0,0,0,0,0,0,0,0,0.928571429,25427.87855,28056.54124,0.13069058,1184.641957,2.29336453,0.289255723026064,0.11734577312189,-0.165512062170926,-0.736241281032562,-0.240331944492128,18.198240152995,1.06868921915702,0.341063505684019,10.754717833076,9.82899093627901,0.249463299520983,5.561936378479,3.84871700406075,-3.88748914930556,-11.8148989677429,1.13582086251452,-11.797744277256,1,7556.935015,0,0
"29",0,0,0,0,0,0,0,0,0,0,0,0.001290323,0.713548387,7095.869321,4914.388306,0.118553752,971.4907963,4.939930572,0.0695828732517031,0.157560805479685,-0.155292232831319,-0.679434537887573,-0.232825090682584,22.561337958442,3.89678526984301,-0.00575309952898806,10.901339948567,14.306203842163,0.00640725777799389,4.77803230285645,2.70283654332161,-5.23667050467597,-18.1092739105225,1.77354821348502,-11.0122984967201,2,1652.84891,0,0
"30",0,0,0,0.154761905,0,0,0,0.087301587,0,0,0,0.650793651,0.079365079,13878.06345,9267.045881,0.129567025,1767.556902,22.76666698,0.106354695889685,0.221873996499317,0.198511598351734,-0.838276819540904,-0.369073446864396,20.854064263238,7.59937886132099,-0.321228326536016,9.212919889712,11.333614862882,0.309566024082017,5.21482133865356,3.85095371191318,-6.64061326980591,-15.5738162260789,3.61890797209896,-6.9354457418903,1,720.3595248,0,0
